Consumer_Email_Key,Consumer_Email_Last_Update_Source_System_Key,Consumer_Email_Last_Opt_In_Opt_Out_Update_Source_System_Key,Consumer_Key,Consumer_Email_Type_Code_Key,Consumer_Email_Record_Valid_From_Date,Consumer_Email_Record_Valid_To_Date,Consumer_Email_Address_Name,Consumer_Email_Current_Record_Indicator,Consumer_Email_Technical_Validity_Indicator,Consumer_Email_Opt_In_Opt_Out_Indicator,Consumer_Email_Opt_In_Opt_Out_Update_Date,Consumer_Email_Source_Last_Update_Date,Consumer_Email_Ip_Location_Name,Consumer_Email_Melissa_Result_Code,Consumer_Email_Melissa_Quality_Score_Code,Consumer_Email_Melissa_Deliverability_Confidence_Score_Number,Consumer_Email_Melissa_Privacy_Indicator,Consumer_Email_Last_Click_Timestamp,Consumer_Email_Subscription_Date,Consumer_Email_Record_Created_Timestamp,Consumer_Email_Record_Modified_Timestamp
153,592,860,2130451,130,2022-03-11,2023-08-14,courtneymccullough@example.org,0,0,0,2022-05-19,2022-12-29,189.209.112.51,null,Valid,784,1,2021-05-28 00:00:00.000000,2022-08-12,2022-03-06 00:18:44.884478,2023-11-01 09:35:09.752059
992,324,681,2133373,651,2022-04-10,2022-11-29,melinda27@example.com,0,1,1,2023-03-29,2023-08-01,204.14.13.10,null,Invalid,281,0,2022-09-17 00:00:00.000000,2023-10-06,2021-10-30 10:28:36.904184,2023-01-17 22:40:13.738584
79,753,330,2134358,47,2023-11-24,2023-12-18,ymiller@example.com,0,0,1,2021-05-03,2023-02-03,18.17.222.79,null,Valid,841,0,2021-11-01 00:00:00.000000,2021-07-16,2022-02-17 01:23:38.107466,2022-05-13 00:39:13.433893
655,325,256,2135151,708,2022-02-12,2023-04-19,johnsonkristin@example.net,1,1,0,2022-03-03,2023-05-02,85.31.172.74,null,Valid,745,0,2021-08-06 00:00:00.000000,2022-01-02,2023-12-24 05:49:47.665036,2024-01-06 02:32:50.408208
102,542,900,2153692,203,2021-09-04,2023-03-16,brianacosta@example.net,1,0,0,2022-11-11,2024-01-04,24.186.221.78,null,Valid,958,1,2022-04-14 00:00:00.000000,2023-07-20,2022-10-18 08:00:16.662256,2024-01-15 01:26:09.673011
946,850,942,2179013,249,2022-01-30,2023-12-06,carriefields@example.com,1,0,0,2023-01-12,2023-05-19,42.84.76.2,null,Invalid,852,1,2021-10-28 00:00:00.000000,2021-08-18,2021-10-31 16:55:36.706500,2023-06-17 17:05:44.789635
706,628,74,2191969,646,2022-09-30,2023-07-20,matthewhoward@example.net,0,1,0,2022-05-03,2022-07-16,59.177.140.254,null,Valid,568,0,2021-05-22 00:00:00.000000,2023-07-25,2021-07-16 15:27:00.820282,2022-05-08 11:43:19.381742
576,534,642,2203205,252,2022-04-01,2023-03-08,alison41@example.net,1,1,1,2023-11-15,2022-06-27,132.1.182.107,null,Valid,449,0,2021-02-04 00:00:00.000000,2023-10-29,2021-03-05 06:54:11.322660,2023-08-29 08:48:05.994744
75,363,983,2214927,302,2021-09-03,2022-08-17,kaylafreeman@example.net,1,0,0,2021-05-26,2021-11-20,68.193.233.78,null,Invalid,304,1,2021-07-24 00:00:00.000000,2022-04-28,2023-07-08 17:35:10.976447,2023-10-04 23:39:21.644747
42,447,878,2227806,50,2021-10-10,2023-03-01,sarahherrera@example.com,0,1,1,2021-05-23,2022-02-01,41.201.214.235,null,Valid,326,1,2022-01-23 00:00:00.000000,2021-03-13,2023-07-31 08:48:56.343093,2023-08-05 16:28:22.262025
691,334,710,2236602,647,2022-11-17,2023-08-29,valerie47@example.com,0,1,1,2021-04-12,2022-11-12,172.228.81.240,null,Valid,282,1,2022-02-04 00:00:00.000000,2021-08-07,2022-07-24 00:08:32.033065,2023-03-21 13:32:38.650679
753,145,905,2241199,904,2021-06-12,2022-11-15,stephensthomas@example.net,0,0,0,2021-07-28,2022-06-03,48.127.228.244,null,Valid,804,1,2022-12-11 00:00:00.000000,2023-07-28,2022-05-18 06:51:36.559685,2023-06-19 04:50:57.881992
385,833,372,2245659,210,2022-06-15,2023-11-25,bjenkins@example.net,0,0,1,2022-06-11,2022-07-28,193.25.155.70,null,Valid,971,0,2022-05-29 00:00:00.000000,2022-10-22,2023-04-13 07:36:54.867661,2023-12-03 21:25:51.492172
81,763,384,2246467,693,2023-09-14,2023-12-16,kimberly53@example.org,1,1,1,2023-10-15,2024-01-09,173.8.101.107,null,Valid,363,1,2021-11-03 00:00:00.000000,2021-04-14,2022-08-23 01:56:01.171632,2023-05-10 11:46:19.224026
241,360,253,2256425,421,2022-01-20,2023-07-04,smithkeith@example.com,0,1,1,2022-12-05,2023-11-04,158.234.172.126,null,Valid,954,1,2021-06-03 00:00:00.000000,2021-12-29,2021-11-04 12:14:55.283865,2023-07-05 03:11:12.306293
748,580,201,2262045,10,2023-11-19,2023-12-25,morgannathan@example.org,0,0,1,2021-07-07,2021-04-18,73.9.188.43,null,Valid,728,0,2022-04-02 00:00:00.000000,2023-11-03,2023-09-04 16:29:15.911118,2023-11-04 18:48:27.953303
651,869,51,2266631,517,2022-09-15,2023-08-16,jenkinsleslie@example.org,0,0,1,2021-01-30,2023-01-01,28.66.52.207,null,Invalid,187,1,2023-10-24 00:00:00.000000,2024-01-03,2021-06-03 02:03:52.296724,2021-09-12 10:13:26.472325
587,183,702,2282196,91,2023-10-08,2023-11-28,frice@example.com,1,0,1,2021-09-26,2021-02-21,132.198.47.154,null,Invalid,210,1,2022-05-17 00:00:00.000000,2021-07-07,2021-10-21 00:04:43.167084,2023-06-30 14:00:56.418447
898,37,792,2302696,720,2021-05-27,2021-06-28,mmorales@example.net,1,1,1,2023-04-14,2022-10-27,57.22.140.180,null,Invalid,512,0,2023-09-21 00:00:00.000000,2021-12-08,2022-11-16 20:45:30.154801,2023-07-03 06:48:56.631222
383,108,901,2316514,518,2021-04-21,2022-06-13,pkennedy@example.net,0,0,0,2023-03-02,2023-12-20,36.118.90.16,null,Valid,22,1,2024-01-06 00:00:00.000000,2021-09-15,2023-08-16 13:34:47.304495,2023-09-11 07:25:01.652502
48,266,108,2328681,149,2024-01-05,2024-01-10,lisa90@example.net,0,1,1,2021-04-04,2022-07-27,27.171.52.208,null,Valid,205,0,2021-02-17 00:00:00.000000,2022-11-07,2022-08-27 17:43:32.385020,2022-12-06 17:11:20.280211
370,526,101,2336745,827,2022-01-17,2022-10-16,joseph57@example.org,0,0,0,2022-12-14,2023-02-10,211.222.157.4,null,Valid,301,0,2021-02-18 00:00:00.000000,2023-02-03,2022-12-15 15:42:59.361439,2023-04-06 00:39:52.932829
956,51,816,2347297,731,2021-11-24,2023-04-23,weberjeffrey@example.org,1,0,0,2022-08-21,2023-12-25,21.20.8.91,null,Valid,439,0,2023-08-19 00:00:00.000000,2021-04-08,2023-10-27 14:33:22.967505,2023-12-30 12:42:40.297472
154,252,537,2350188,220,2022-05-21,2022-07-07,gonzalezsandra@example.org,0,1,1,2022-01-22,2022-05-06,23.204.39.216,null,Valid,683,1,2022-10-20 00:00:00.000000,2021-02-06,2022-06-15 15:36:17.555709,2023-12-22 11:18:13.668474
537,425,36,2358878,750,2021-06-08,2022-12-03,danahartman@example.org,0,1,1,2022-01-21,2023-02-12,121.48.129.96,null,Invalid,927,0,2022-05-10 00:00:00.000000,2023-01-22,2022-09-09 08:56:17.463234,2023-06-16 02:14:47.234225
396,874,932,2365545,632,2023-11-25,2023-12-10,jason99@example.net,1,0,0,2022-09-20,2022-12-07,223.176.248.32,null,Valid,146,0,2023-05-09 00:00:00.000000,2023-10-15,2021-09-04 02:02:58.317232,2022-03-15 18:24:17.787701
407,156,407,2369445,29,2022-02-09,2023-08-07,gracemcintyre@example.org,0,1,1,2022-07-31,2022-12-14,7.1.249.25,null,Valid,439,1,2021-09-08 00:00:00.000000,2021-05-19,2022-12-24 15:43:48.735015,2023-12-26 03:49:50.688525
306,983,738,2379289,284,2023-01-06,2023-05-18,johnsonjonathan@example.net,1,1,0,2021-06-05,2022-06-22,200.222.6.207,null,Valid,492,1,2023-10-31 00:00:00.000000,2023-07-05,2022-04-04 10:11:19.375903,2022-06-13 19:37:16.816015
345,979,364,2399218,435,2021-01-28,2022-07-30,xlucero@example.org,0,0,1,2023-11-07,2021-06-05,11.163.205.247,null,Valid,815,0,2022-12-10 00:00:00.000000,2022-02-25,2023-05-29 23:18:22.318467,2023-08-18 11:14:22.170991
698,433,711,2400171,238,2021-03-24,2021-11-25,javierduffy@example.net,1,1,0,2023-09-11,2024-01-22,97.7.248.38,null,Valid,277,1,2023-06-22 00:00:00.000000,2023-08-02,2022-07-14 16:21:56.198202,2022-10-28 17:45:31.544211
864,707,847,2403907,857,2023-08-24,2023-11-17,catherine57@example.com,1,1,0,2021-09-25,2023-01-15,72.141.37.156,null,Valid,706,0,2023-10-08 00:00:00.000000,2021-07-16,2023-11-05 21:49:19.978985,2023-12-26 23:37:59.515040
643,529,493,2410006,603,2022-04-06,2023-12-17,edward22@example.net,1,1,0,2021-02-23,2022-10-16,65.216.52.25,null,Invalid,119,0,2022-12-23 00:00:00.000000,2021-09-13,2023-07-31 04:33:00.205605,2024-01-08 09:30:45.916426
921,849,344,2425429,907,2021-08-08,2021-09-27,rojasmelissa@example.net,0,0,0,2023-03-12,2021-05-23,30.4.143.127,null,Valid,210,0,2021-08-03 00:00:00.000000,2022-09-28,2023-07-09 23:53:17.045486,2024-01-04 14:33:37.447521
158,820,492,2445835,78,2022-06-09,2023-05-18,sjohnson@example.com,1,0,0,2023-07-26,2022-07-08,70.77.5.148,null,Valid,620,0,2022-02-12 00:00:00.000000,2021-09-20,2022-03-14 21:45:24.501617,2022-12-25 01:53:10.605501
546,276,342,2452370,605,2021-02-28,2023-08-21,rdelgado@example.org,1,0,0,2023-01-12,2022-06-19,146.41.201.122,null,Invalid,180,0,2023-07-08 00:00:00.000000,2023-08-03,2022-03-12 12:29:00.173950,2022-04-03 15:42:13.744399
625,769,931,2456641,696,2021-03-03,2021-11-20,dharris@example.com,0,0,1,2021-02-15,2021-03-24,51.248.220.16,null,Valid,8,0,2023-01-03 00:00:00.000000,2021-03-11,2022-07-23 18:25:54.728329,2023-04-03 07:39:56.168221
315,768,705,2457728,947,2021-09-04,2023-10-04,brownrichard@example.org,1,1,0,2021-10-21,2021-03-06,118.148.79.200,null,Valid,779,0,2023-06-15 00:00:00.000000,2023-04-11,2021-05-04 07:05:17.323300,2022-08-03 08:26:59.669810
319,968,975,2459743,455,2022-05-20,2023-12-20,ambercallahan@example.com,0,0,0,2022-09-06,2021-03-26,187.95.86.118,null,Valid,931,0,2022-07-31 00:00:00.000000,2022-06-28,2023-10-23 18:03:45.635171,2023-12-31 16:46:04.223375
311,423,808,2507171,142,2022-07-13,2022-08-18,franklinchristina@example.net,0,1,0,2022-06-09,2022-10-18,88.97.242.135,null,Valid,817,1,2024-01-18 00:00:00.000000,2023-11-22,2021-12-06 05:21:33.588339,2023-09-12 15:26:42.849103
473,820,137,2507327,133,2021-10-11,2023-09-26,ssanchez@example.com,1,0,1,2022-05-29,2021-05-29,7.17.124.154,null,Valid,1,1,2021-02-08 00:00:00.000000,2023-06-30,2021-10-09 00:55:26.125226,2022-02-05 20:16:40.614845
715,254,662,2518005,225,2021-09-16,2022-11-10,eparker@example.net,1,1,0,2022-03-08,2021-06-03,144.167.225.200,null,Valid,12,1,2023-07-25 00:00:00.000000,2021-07-09,2023-02-12 20:09:36.474799,2023-09-10 00:08:25.790461
46,341,566,2520866,68,2023-04-22,2024-01-13,rossbenjamin@example.org,1,1,0,2022-05-28,2021-05-08,85.121.12.161,null,Invalid,987,0,2022-08-15 00:00:00.000000,2023-10-31,2023-08-16 11:40:25.396963,2023-10-18 03:15:05.505656
977,945,748,2523580,254,2023-12-30,2024-01-24,derek14@example.com,0,0,1,2022-02-25,2021-03-11,196.143.164.184,null,Invalid,622,1,2021-03-09 00:00:00.000000,2023-04-30,2023-11-13 14:03:54.557508,2023-11-18 12:08:19.218822
8,163,129,2527287,294,2022-04-08,2022-09-14,ndecker@example.com,1,0,0,2022-10-24,2023-01-07,178.145.212.62,null,Valid,375,0,2022-03-26 00:00:00.000000,2023-02-14,2023-05-04 11:22:04.528631,2023-09-17 13:59:54.803877
479,515,622,2528589,247,2023-01-25,2023-02-21,debra65@example.org,1,0,0,2021-03-07,2021-02-07,204.168.115.124,null,Invalid,592,1,2021-04-08 00:00:00.000000,2023-06-03,2022-01-15 15:18:57.889763,2023-08-19 10:09:32.809156
499,932,153,2529947,275,2021-07-16,2022-03-09,zstephens@example.com,1,0,0,2023-04-06,2023-10-22,45.121.167.161,null,Valid,545,1,2022-07-18 00:00:00.000000,2022-08-21,2022-12-30 09:41:36.887354,2024-01-04 07:18:22.092629
238,520,268,2546031,832,2022-03-02,2023-07-25,erin09@example.org,0,1,0,2021-07-29,2023-07-21,151.191.109.132,null,Valid,568,1,2022-02-20 00:00:00.000000,2023-01-16,2021-02-01 03:26:47.301871,2021-08-27 16:38:26.740167
151,132,984,2555439,45,2022-01-17,2023-02-06,karengreen@example.org,1,0,0,2022-05-18,2021-05-27,24.221.232.136,null,Valid,96,0,2023-05-07 00:00:00.000000,2022-05-06,2021-08-07 17:42:52.525104,2022-05-16 06:59:51.711776
37,505,544,2601766,639,2023-02-06,2023-11-17,andersonlauren@example.net,0,1,1,2022-02-13,2021-06-17,220.139.28.82,null,Valid,257,1,2021-10-12 00:00:00.000000,2023-01-08,2023-08-04 02:24:00.410301,2023-10-12 09:44:34.119783
944,440,366,2605186,486,2022-10-08,2023-05-17,dennisdonna@example.org,1,1,0,2023-08-25,2021-02-19,91.124.98.139,null,Valid,501,0,2022-12-17 00:00:00.000000,2023-11-02,2021-08-12 16:23:14.271859,2023-07-27 23:52:53.838338
669,923,728,2606875,416,2022-11-22,2022-11-23,michelle36@example.com,1,0,0,2022-06-06,2023-11-20,206.165.225.110,null,Valid,523,0,2022-02-09 00:00:00.000000,2022-06-24,2022-09-25 00:37:07.432775,2023-11-17 06:50:55.404611
502,94,199,2612889,777,2021-08-11,2021-12-16,shelleyperkins@example.net,1,1,1,2023-02-16,2022-06-08,165.86.126.48,null,Invalid,360,1,2023-11-09 00:00:00.000000,2023-08-06,2021-08-19 02:50:04.466956,2021-08-29 10:29:21.114492
297,548,139,2622041,579,2023-08-21,2023-12-11,qrocha@example.net,1,0,1,2022-11-24,2023-01-13,119.65.181.177,null,Suspicious,50,0,2021-11-23 00:00:00.000000,2023-04-27,2023-11-06 23:36:50.928249,2023-12-27 14:16:56.683686
908,469,18,2626711,188,2021-03-17,2022-01-14,ronnie68@example.com,1,0,1,2022-02-15,2022-03-27,185.204.28.223,null,Valid,426,0,2022-02-22 00:00:00.000000,2022-11-02,2022-04-04 22:40:50.325491,2023-06-01 07:40:56.866572
966,169,53,2629614,807,2023-06-02,2024-01-04,mcfarlandbrandon@example.org,1,1,1,2021-07-28,2021-05-09,105.249.20.242,null,Valid,156,1,2022-08-18 00:00:00.000000,2021-12-09,2022-12-07 17:26:37.683978,2023-01-21 04:54:02.940293
888,67,555,2639161,155,2022-12-02,2022-12-02,webstercourtney@example.net,0,1,0,2023-08-10,2021-04-23,46.239.39.59,null,Valid,629,1,2023-02-19 00:00:00.000000,2023-07-17,2023-07-21 11:16:37.328351,2023-10-27 11:03:23.744759
791,576,823,2662848,503,2021-08-20,2021-09-05,ocain@example.net,1,1,0,2023-04-01,2022-09-05,121.92.138.6,null,Invalid,75,1,2021-04-29 00:00:00.000000,2021-07-01,2021-04-27 15:38:29.746083,2021-08-20 20:27:25.607019
198,729,900,2664427,786,2021-07-26,2021-10-12,jonathoncastillo@example.net,0,1,1,2021-08-31,2022-12-19,7.167.250.17,null,Invalid,307,0,2024-01-02 00:00:00.000000,2021-12-21,2021-12-14 20:36:08.084624,2021-12-20 19:31:13.820937
165,940,852,2675555,634,2023-11-25,2024-01-13,michael71@example.org,1,1,0,2023-12-26,2023-05-17,101.24.130.42,null,Valid,63,0,2022-09-03 00:00:00.000000,2023-05-27,2022-08-03 07:44:14.294091,2022-10-03 21:38:24.398662
133,886,829,2678374,618,2023-02-23,2023-06-14,phyllis11@example.org,1,1,0,2021-12-24,2021-11-27,104.157.126.111,null,Invalid,440,1,2021-11-02 00:00:00.000000,2021-08-22,2022-06-09 18:13:42.151404,2023-03-31 11:24:28.815871
963,816,474,2693136,830,2023-01-11,2023-06-03,joshuahood@example.org,0,0,1,2021-07-14,2021-03-19,103.70.76.201,null,Suspicious,47,0,2021-12-01 00:00:00.000000,2023-12-13,2023-04-08 10:04:55.948148,2023-06-16 16:23:10.652315
433,442,753,2708350,356,2021-10-06,2022-08-26,ibolton@example.org,1,0,0,2022-06-10,2023-09-03,37.241.222.92,null,Valid,321,0,2022-01-17 00:00:00.000000,2021-06-17,2022-05-01 10:04:18.031960,2023-01-25 17:31:30.059419
879,101,430,2720690,139,2023-10-20,2023-10-31,sbarrett@example.com,0,0,1,2022-06-06,2022-05-17,22.237.25.215,null,Suspicious,510,0,2021-12-14 00:00:00.000000,2022-06-13,2023-06-23 19:44:05.818855,2024-01-21 01:38:23.946545
373,214,588,2726559,14,2023-08-04,2023-10-30,dawn44@example.org,0,1,1,2021-07-11,2022-04-02,26.254.39.10,null,Valid,940,0,2022-05-16 00:00:00.000000,2023-02-26,2021-04-11 03:15:51.455775,2022-11-14 08:08:44.524333
904,569,726,2747610,884,2022-10-27,2023-02-11,hoovercolleen@example.org,1,1,0,2023-09-13,2021-11-04,108.58.118.35,null,Valid,63,1,2022-06-17 00:00:00.000000,2023-10-11,2022-08-10 20:21:06.154379,2023-06-05 08:28:54.430892
689,662,1,2750214,61,2022-11-14,2023-09-04,scott65@example.com,0,1,0,2021-07-21,2023-02-26,177.120.234.250,null,Invalid,125,1,2022-04-15 00:00:00.000000,2023-01-24,2022-10-22 02:21:15.479206,2023-03-10 14:27:46.165195
38,92,246,2758280,672,2021-11-04,2022-11-19,timothyandersen@example.org,1,0,0,2023-01-04,2022-08-08,132.68.64.0,null,Valid,591,0,2023-06-27 00:00:00.000000,2021-04-05,2021-03-09 03:36:24.209032,2022-02-04 13:51:33.374310
970,425,450,2772244,779,2021-10-31,2022-08-31,porterlaura@example.net,0,0,1,2022-11-03,2021-12-07,124.81.189.251,null,Valid,163,0,2021-09-13 00:00:00.000000,2022-08-11,2023-06-01 04:56:13.488709,2023-06-14 10:57:40.415519
540,263,588,2772633,753,2022-03-22,2023-02-17,matthew70@example.net,0,1,1,2022-05-13,2022-01-27,154.175.242.236,null,Invalid,182,0,2022-10-11 00:00:00.000000,2021-10-15,2023-12-18 08:56:19.125897,2024-01-10 02:49:00.182318
891,510,855,2781479,469,2023-05-30,2023-11-22,larryjuarez@example.org,1,1,1,2021-07-28,2023-03-31,145.141.197.201,null,Invalid,384,0,2022-04-25 00:00:00.000000,2023-02-14,2021-03-27 04:09:36.603309,2023-09-08 15:56:29.662150
780,750,200,2784089,498,2023-09-27,2023-10-22,campbelljohn@example.net,0,0,0,2024-01-21,2021-02-11,23.50.74.114,null,Valid,609,1,2022-05-09 00:00:00.000000,2023-11-13,2022-09-19 08:44:49.097425,2023-12-06 18:57:52.068482
273,244,480,2785477,394,2023-11-09,2023-12-19,daguilar@example.com,1,1,0,2023-04-13,2022-09-03,172.41.12.95,null,Valid,283,0,2021-06-16 00:00:00.000000,2022-10-06,2021-08-13 21:51:27.176990,2023-11-02 11:16:51.445291
462,918,44,2815681,933,2021-02-06,2023-08-10,daisypham@example.com,1,1,0,2022-03-05,2022-04-25,120.242.195.212,null,Valid,472,0,2023-07-15 00:00:00.000000,2021-10-06,2023-01-31 03:26:41.938891,2023-07-12 12:45:10.026350
25,581,199,2820127,115,2022-09-24,2023-04-20,dominiquemack@example.com,1,0,1,2021-09-09,2022-05-04,8.233.233.155,null,Valid,65,0,2021-12-23 00:00:00.000000,2023-09-21,2023-10-24 00:50:12.131241,2023-10-25 07:24:54.147819
277,834,208,2820288,609,2022-02-22,2022-12-08,frank18@example.com,0,1,0,2023-05-30,2023-01-16,117.208.101.90,null,Valid,308,0,2023-10-08 00:00:00.000000,2023-02-03,2022-06-25 02:29:14.495088,2022-08-10 07:13:40.630625
861,963,893,2828763,795,2023-08-07,2023-11-03,andrewssherri@example.com,1,1,1,2023-05-14,2021-02-05,71.129.196.216,null,Valid,518,0,2023-08-13 00:00:00.000000,2022-01-30,2023-12-30 12:08:17.234678,2023-12-31 01:12:11.290235
798,483,315,2833873,623,2021-07-29,2022-12-17,jenna87@example.net,0,0,0,2023-11-30,2021-11-21,216.250.148.251,null,Valid,611,0,2021-08-25 00:00:00.000000,2022-03-14,2021-09-01 15:04:33.827079,2022-09-14 22:47:09.375665
28,322,633,2836709,336,2021-08-11,2023-09-28,morganhill@example.org,0,1,0,2023-06-23,2022-05-27,10.162.94.224,null,Invalid,8,0,2021-12-18 00:00:00.000000,2023-01-07,2023-01-27 02:51:41.934738,2024-01-02 05:50:52.113564
427,720,145,2856997,991,2023-04-16,2024-01-18,bradfordmichael@example.com,0,1,0,2022-07-18,2023-12-14,124.129.248.228,null,Valid,134,0,2021-04-05 00:00:00.000000,2023-12-24,2022-11-28 22:08:57.654154,2023-01-21 19:47:38.455161
547,329,829,2862844,342,2021-03-21,2021-07-29,kathy66@example.net,0,0,1,2023-07-12,2022-03-08,147.175.111.1,null,Valid,516,0,2023-05-05 00:00:00.000000,2023-12-28,2022-01-30 03:03:05.769077,2023-02-06 05:18:06.389440
40,295,492,2872422,549,2021-12-01,2023-07-18,brightgina@example.org,0,1,1,2021-02-06,2024-01-04,185.43.148.175,null,Valid,36,1,2021-06-25 00:00:00.000000,2022-12-27,2023-08-28 19:25:22.646950,2023-08-30 18:16:06.116294
35,214,219,2881961,391,2023-01-06,2023-01-19,lozanomiranda@example.net,1,1,0,2023-11-24,2023-07-19,79.251.248.144,null,Valid,706,0,2021-05-26 00:00:00.000000,2022-04-18,2023-05-10 13:36:13.903144,2023-12-18 08:29:53.853360
636,727,497,2886957,188,2021-10-29,2022-02-28,brianduncan@example.net,0,0,0,2021-03-14,2023-11-24,132.147.117.34,null,Invalid,370,0,2021-09-16 00:00:00.000000,2023-09-29,2022-03-25 21:35:00.139623,2022-11-30 01:16:14.896387
932,651,66,2894829,44,2021-11-12,2022-10-01,erichicks@example.org,0,1,0,2021-05-14,2021-02-23,126.238.112.247,null,Valid,802,0,2023-01-12 00:00:00.000000,2021-10-17,2023-01-31 10:33:09.901238,2023-12-05 22:53:37.339219
959,488,753,2899374,861,2022-07-02,2024-01-03,catherinemason@example.net,0,0,0,2023-08-27,2021-04-17,121.18.152.202,null,Valid,54,0,2023-12-20 00:00:00.000000,2022-07-19,2021-09-20 11:39:56.485943,2021-10-14 06:25:05.731544
96,950,818,2904318,433,2023-03-15,2023-08-01,michaeleaton@example.net,0,0,1,2022-09-29,2021-02-18,92.192.15.103,null,Valid,633,0,2021-07-31 00:00:00.000000,2022-01-27,2022-09-25 11:24:53.590005,2022-12-25 17:54:03.511772
307,640,713,2919075,510,2022-06-22,2023-04-24,nataliebryan@example.com,1,0,1,2023-04-07,2021-09-25,107.50.44.77,null,Valid,54,0,2023-07-17 00:00:00.000000,2023-02-28,2024-01-13 01:43:03.253116,2024-01-14 01:27:54.586845
87,231,410,2941709,672,2023-01-30,2023-03-29,kylemelton@example.com,1,0,1,2021-06-12,2022-06-21,198.252.32.185,null,Valid,590,0,2024-01-13 00:00:00.000000,2021-03-12,2021-06-08 17:00:44.202952,2023-08-29 23:14:45.974377
943,653,825,2950439,225,2021-12-22,2023-08-19,wrightbryan@example.org,1,1,1,2023-12-03,2022-02-02,149.49.128.74,null,Valid,603,0,2023-01-25 00:00:00.000000,2023-04-17,2021-08-24 00:33:20.193756,2023-08-30 01:38:22.040795
218,637,531,2955120,408,2021-06-18,2023-10-09,pnolan@example.net,0,1,0,2021-04-22,2023-08-01,24.169.199.173,null,Valid,188,1,2022-07-05 00:00:00.000000,2021-02-26,2021-10-08 22:35:07.743556,2022-07-17 19:32:22.980768
848,560,631,2966035,288,2022-02-02,2022-09-16,eroman@example.com,0,0,0,2022-02-23,2021-12-06,4.23.48.85,null,Valid,669,1,2023-05-30 00:00:00.000000,2023-09-26,2021-06-07 03:59:17.639267,2023-07-05 11:53:30.216288
255,836,4,2975766,430,2023-12-02,2023-12-29,jamesosborn@example.org,1,1,1,2023-10-03,2022-06-04,103.226.160.25,null,Valid,957,0,2023-06-24 00:00:00.000000,2022-07-27,2024-01-01 23:13:06.894105,2024-01-25 04:06:34.377315
422,796,106,2978506,283,2022-12-11,2023-01-21,trevor58@example.net,0,0,1,2023-02-01,2022-02-02,124.15.13.238,null,Invalid,349,0,2021-08-17 00:00:00.000000,2024-01-23,2022-05-31 09:10:12.959642,2023-09-11 12:28:21.669349
729,252,671,2979482,362,2023-01-17,2023-05-03,hannahmason@example.com,1,1,0,2023-05-08,2021-02-02,83.103.179.25,null,Suspicious,765,1,2022-03-07 00:00:00.000000,2023-07-13,2022-03-05 03:02:35.804164,2023-11-11 06:02:51.476630
837,450,412,2983716,563,2022-12-07,2023-08-30,woodsrobert@example.com,1,1,0,2024-01-22,2022-08-09,144.58.231.11,null,Valid,745,0,2022-09-28 00:00:00.000000,2023-07-24,2022-05-15 11:41:43.302588,2023-02-17 00:46:30.428775
276,950,26,2994397,528,2021-03-30,2021-05-16,alvarezmargaret@example.org,1,0,0,2023-03-29,2022-08-29,207.172.117.86,null,Valid,519,1,2023-01-11 00:00:00.000000,2022-03-21,2022-06-18 23:12:34.952619,2023-12-08 18:24:52.904509
91,405,383,3001939,114,2022-09-19,2023-10-01,kingmelissa@example.net,0,0,0,2022-11-23,2023-12-24,204.159.106.134,null,Valid,386,0,2021-04-17 00:00:00.000000,2023-03-14,2023-07-14 09:20:58.931126,2023-11-30 02:04:19.297649
469,661,25,3004379,409,2022-10-18,2023-03-02,romerodebbie@example.com,1,0,1,2022-02-14,2021-11-13,185.25.143.64,null,Valid,484,0,2023-11-15 00:00:00.000000,2022-08-23,2021-11-22 09:47:25.425156,2022-01-25 03:55:24.872318
412,257,214,3011450,666,2022-03-28,2022-04-18,tboone@example.com,1,1,0,2022-06-16,2022-09-21,143.253.127.109,null,Valid,187,0,2023-09-30 00:00:00.000000,2023-05-02,2022-01-13 23:12:26.231306,2023-06-04 04:17:00.816150
146,98,638,3018829,136,2021-08-23,2023-02-07,jonespeter@example.net,1,0,0,2021-12-15,2021-02-14,109.89.56.236,null,Valid,378,1,2023-11-13 00:00:00.000000,2023-01-09,2021-11-26 17:26:32.786992,2022-01-01 02:39:25.687742
724,152,309,3022250,974,2021-05-30,2024-01-14,lunaarthur@example.org,0,1,0,2022-12-14,2022-06-08,39.108.215.4,null,Suspicious,366,0,2023-11-09 00:00:00.000000,2021-12-01,2022-01-16 10:09:33.085952,2023-03-25 11:04:16.144916
211,454,882,3030850,774,2021-06-08,2023-02-23,lorijones@example.org,0,1,0,2021-02-25,2024-01-06,15.145.19.29,null,Valid,885,0,2024-01-02 00:00:00.000000,2022-06-05,2022-03-10 19:37:36.115641,2022-05-26 05:44:22.150723
236,262,243,3033567,570,2023-09-18,2023-10-23,lvazquez@example.net,0,1,0,2022-10-19,2023-06-27,211.35.80.137,null,Valid,634,1,2022-12-09 00:00:00.000000,2023-07-02,2024-01-02 08:43:14.797817,2024-01-09 19:56:31.244907
367,887,788,3043798,390,2023-07-10,2023-10-22,theresaowens@example.com,0,0,0,2021-07-28,2022-10-02,131.3.194.245,null,Invalid,329,1,2023-01-28 00:00:00.000000,2022-12-06,2023-03-23 22:28:00.598922,2023-09-29 14:06:36.081591
